epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,2553.26,0.81382,0.83204,0.72986,0.00284,0.14788,0.89813,0.86342,0.93005,0.79837,0.89999,0.86516,0.93297,0.76908,0.60286,0.67216,0.45706,0.00352,0,0.02274,0.00758,0.02274,0.00758,0.02274,0.00758,0.02274,0.00758
24,2661.17,0.79947,0.82971,0.70371,0.00281,0.13864,0.90013,0.88383,0.94382,0.8084,0.90044,0.88404,0.94339,0.76026,0.59417,0.71478,0.42806,0.00339,0,0.02241,0.00747,0.02241,0.00747,0.02241,0.00747,0.02241,0.00747
25,2767.97,0.79571,0.7958,0.68634,0.00281,0.13497,0.9143,0.88947,0.94684,0.81449,0.91406,0.88922,0.94777,0.76169,0.59889,0.68514,0.39564,0.0034,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
26,2875.08,0.786,0.79285,0.69404,0.00279,0.13709,0.90715,0.90778,0.9502,0.81109,0.90789,0.90993,0.95394,0.76383,0.60954,0.69686,0.39263,0.00352,0,0.02175,0.00725,0.02175,0.00725,0.02175,0.00725,0.02175,0.00725
27,2982.55,0.77866,0.77607,0.68007,0.00276,0.13209,0.901,0.89009,0.94537,0.81156,0.90171,0.89793,0.94994,0.76512,0.59068,0.69561,0.40424,0.00338,0,0.02142,0.00714,0.02142,0.00714,0.02142,0.00714,0.02142,0.00714
28,3089.47,0.78582,0.74908,0.65431,0.00274,0.12258,0.90234,0.88967,0.94348,0.82107,0.90639,0.89008,0.94482,0.77333,0.56365,0.6663,0.41018,0.00321,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
29,3195.47,0.79623,0.77897,0.67977,0.00275,0.12759,0.92013,0.90756,0.95334,0.83242,0.92189,0.91006,0.95689,0.77773,0.55394,0.67103,0.36883,0.00315,0,0.02076,0.00692,0.02076,0.00692,0.02076,0.00692,0.02076,0.00692
30,3307.22,0.76656,0.7494,0.63667,0.00263,0.12136,0.92575,0.9198,0.9605,0.83317,0.92928,0.91724,0.96063,0.77438,0.5707,0.68214,0.34783,0.00325,0,0.02043,0.00681,0.02043,0.00681,0.02043,0.00681,0.02043,0.00681
31,3418.47,0.77499,0.76651,0.64158,0.00263,0.12,0.95037,0.89627,0.95781,0.83695,0.95088,0.89684,0.95993,0.78956,0.55444,0.65293,0.34485,0.00319,0,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
32,3526.82,0.76765,0.75135,0.61892,0.00267,0.11854,0.9242,0.91578,0.95922,0.84578,0.92466,0.9197,0.9628,0.79271,0.5352,0.64904,0.33616,0.00303,0,0.01977,0.00659,0.01977,0.00659,0.01977,0.00659,0.01977,0.00659
33,3634.53,0.76981,0.75148,0.60783,0.00268,0.11697,0.94513,0.90838,0.95941,0.84178,0.94555,0.90874,0.96111,0.78965,0.54247,0.66802,0.32862,0.00314,0,0.01944,0.00648,0.01944,0.00648,0.01944,0.00648,0.01944,0.00648
34,3740.89,0.75933,0.74826,0.59499,0.00263,0.10777,0.94078,0.91897,0.96224,0.85027,0.94347,0.92186,0.96602,0.79764,0.53424,0.65365,0.31279,0.00303,0,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
35,3848.64,0.74546,0.73011,0.56858,0.00256,0.10554,0.96196,0.92001,0.96464,0.85339,0.96415,0.92069,0.96678,0.80517,0.52234,0.63476,0.29903,0.00295,0,0.01878,0.00626,0.01878,0.00626,0.01878,0.00626,0.01878,0.00626
