epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
37,42888.3,0.08329,0.3216,0.02671,0.84678,0.99105,0.03342,0.66543,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,44045.1,0.08757,0.2989,0.02627,0.87067,0.99248,0.02871,0.51075,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,45202.2,0.09557,0.29324,0.0276,0.8903,0.99337,0.02263,0.52842,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,46359,0.09542,0.28345,0.02649,0.87665,0.99268,0.02574,0.50955,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,47516.6,0.09594,0.27292,0.0262,0.87817,0.99277,0.0256,0.50288,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,48674,0.09355,0.27678,0.02666,0.8927,0.99371,0.0235,0.49855,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,49830.9,0.09495,0.27584,0.02616,0.87286,0.99246,0.02579,0.49624,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,50987.5,0.09854,0.27671,0.02715,0.87294,0.99235,0.0257,0.50415,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,52144.4,0.09463,0.26936,0.02658,0.89353,0.9937,0.02114,0.50955,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,53301.6,0.09316,0.2648,0.0259,0.88974,0.99351,0.02306,0.49684,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
