epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
37,21522.5,0.07475,0.47351,0.01122,0.1687,0.98773,0.11337,0.27953,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,22103.5,0.07254,0.4757,0.01059,0.16672,0.98406,0.12058,0.28142,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,22684.6,0.07374,0.46985,0.01092,0.16586,0.98581,0.11758,0.28108,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,23265.5,0.07384,0.47248,0.01069,0.18022,0.98674,0.10908,0.2876,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,23846.8,0.07195,0.47327,0.01032,0.1765,0.98549,0.11227,0.28618,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,24428,0.07343,0.48472,0.01058,0.1773,0.98418,0.11612,0.29455,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,25009.7,0.06995,0.48618,0.01013,0.18712,0.98686,0.11009,0.29455,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,25590.4,0.06809,0.47028,0.01054,0.18944,0.98548,0.1108,0.30816,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,26171.2,0.07473,0.475,0.01097,0.18188,0.98466,0.11507,0.30021,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,26752.3,0.06785,0.47338,0.01002,0.16148,0.98222,0.1238,0.30363,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,27333,0.06869,0.47312,0.01001,0.18494,0.9855,0.11299,0.30244,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,27913.9,0.07097,0.4824,0.01005,0.19691,0.98529,0.10904,0.31726,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,28494.8,0.06532,0.45854,0.00998,0.21348,0.98736,0.10281,0.29959,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,29075.9,0.06497,0.4462,0.00986,0.20855,0.98648,0.10601,0.30754,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,29656.9,0.0687,0.45704,0.01011,0.21284,0.986,0.10624,0.30696,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,30237.8,0.07142,0.45862,0.01011,0.22074,0.98733,0.10212,0.26964,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,30818.4,0.07157,0.45527,0.01012,0.19409,0.98585,0.10983,0.25159,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,31399.6,0.06702,0.45199,0.00961,0.21516,0.98694,0.10151,0.28354,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,31981.6,0.06669,0.43488,0.00978,0.2203,0.9868,0.10516,0.28819,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,32562.4,0.06555,0.44697,0.0095,0.2209,0.98737,0.10282,0.26832,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,33142.8,0.05999,0.43759,0.00903,0.2273,0.98781,0.10122,0.27411,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,33725.3,0.06465,0.43573,0.00965,0.24026,0.98697,0.1045,0.28448,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,34306,0.0669,0.46199,0.00972,0.23509,0.98689,0.10101,0.28826,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,34886.7,0.0623,0.43359,0.00897,0.2346,0.98768,0.09998,0.27388,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,35467.7,0.06184,0.4304,0.00864,0.22743,0.98682,0.10475,0.26811,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,36048.3,0.06455,0.44697,0.00926,0.2183,0.98552,0.10893,0.29885,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,36628.9,0.06473,0.44746,0.00941,0.22295,0.98728,0.10422,0.27864,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,37209.7,0.06472,0.44637,0.00907,0.22249,0.98796,0.10207,0.2731,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,37790.4,0.06041,0.41917,0.00892,0.2428,0.98842,0.09672,0.26787,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,38371.3,0.06031,0.43133,0.00854,0.24621,0.98809,0.09606,0.27663,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
