epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1597.64,0.82227,0.78732,0.97241,0.92248,0.88528,0.95192,0.78195,0.67088,0.50862,0.89838,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1647.41,0.82,0.77146,0.97713,0.93325,0.89346,0.95444,0.7557,0.76753,0.50713,0.9202,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1697.25,0.8117,0.76633,0.96765,0.92609,0.90172,0.95717,0.80084,0.61314,0.48954,0.88798,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1748.43,0.80621,0.7577,0.97127,0.93197,0.89967,0.95586,0.75501,0.78176,0.4954,0.9215,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1798.75,0.79687,0.73926,0.96771,0.94116,0.90542,0.9626,0.7934,0.66137,0.46728,0.89823,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1848.59,0.7982,0.75284,0.96759,0.92985,0.91177,0.9609,0.79384,0.66926,0.46238,0.89098,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1898.77,0.79316,0.73182,0.9583,0.93545,0.92485,0.96412,0.78345,0.72076,0.45584,0.89762,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1949.09,0.78965,0.72603,0.95685,0.94378,0.90116,0.96336,0.78453,0.71018,0.45581,0.8979,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1999.44,0.78062,0.71418,0.95698,0.9531,0.9235,0.96736,0.79096,0.68883,0.437,0.89849,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2048.53,0.77795,0.6996,0.95391,0.95086,0.92483,0.96679,0.79327,0.68341,0.43021,0.89707,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2098.79,0.78114,0.71118,0.95475,0.95268,0.92314,0.96682,0.77158,0.75518,0.43335,0.91061,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2149.38,0.76428,0.67935,0.95243,0.94546,0.93865,0.97004,0.79438,0.69866,0.42074,0.89657,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2199.56,0.77678,0.68668,0.95235,0.93611,0.94475,0.97079,0.76622,0.80561,0.43216,0.92003,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2248.36,0.76084,0.68575,0.94916,0.95044,0.93323,0.96986,0.79837,0.67044,0.40374,0.88924,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2296.71,0.76789,0.67736,0.94668,0.95859,0.92924,0.96962,0.80036,0.67628,0.40686,0.88701,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2347.48,0.75479,0.67706,0.94235,0.95577,0.93257,0.96846,0.8024,0.66493,0.403,0.88732,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2395.73,0.76296,0.65702,0.94794,0.95757,0.93432,0.97039,0.80951,0.65405,0.39584,0.88125,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2444.05,0.74768,0.66282,0.94023,0.9641,0.93947,0.97023,0.7911,0.71664,0.40195,0.89657,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2492.64,0.7464,0.64006,0.93794,0.96883,0.94045,0.97147,0.78623,0.74034,0.40408,0.90199,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2543.27,0.74567,0.64336,0.9419,0.9629,0.94249,0.97096,0.82122,0.60804,0.37929,0.87419,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2592.39,0.73804,0.64604,0.93584,0.9601,0.95126,0.97358,0.82254,0.61621,0.37043,0.87496,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2640.62,0.74068,0.63444,0.93829,0.96561,0.94823,0.97434,0.82659,0.60512,0.36689,0.86963,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2690.47,0.739,0.63198,0.93971,0.96998,0.95054,0.97395,0.81061,0.66224,0.37394,0.88162,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2738.68,0.72891,0.6216,0.93309,0.96191,0.94971,0.97383,0.82195,0.6225,0.36843,0.87505,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2787.23,0.73527,0.61768,0.93536,0.96498,0.94763,0.97299,0.81881,0.62897,0.36739,0.8735,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2836.4,0.71736,0.60702,0.93237,0.96759,0.94908,0.97495,0.82468,0.6112,0.35978,0.8708,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2884.85,0.72963,0.60775,0.9341,0.9538,0.95465,0.973,0.81458,0.64852,0.3694,0.87628,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2932.84,0.72784,0.60216,0.92942,0.96578,0.95661,0.9757,0.82261,0.61984,0.35761,0.87123,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2983.26,0.71148,0.59036,0.92528,0.96672,0.95761,0.97467,0.83038,0.60632,0.34957,0.86793,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3031.51,0.70426,0.59015,0.92255,0.96448,0.95363,0.97538,0.82296,0.6149,0.35302,0.86936,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3082.02,0.71586,0.58898,0.9292,0.97379,0.94341,0.97524,0.82707,0.60652,0.35052,0.87011,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3131.12,0.70787,0.58135,0.92026,0.97106,0.94949,0.97512,0.82594,0.61834,0.34531,0.87129,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3178.77,0.71514,0.59293,0.92879,0.97365,0.95777,0.97598,0.8314,0.59518,0.34097,0.86508,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3226.8,0.69906,0.56909,0.92132,0.972,0.95531,0.97602,0.83785,0.57549,0.33651,0.85954,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3275.04,0.6971,0.56383,0.92063,0.97027,0.95238,0.97453,0.82835,0.60589,0.34198,0.86535,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3324.02,0.68967,0.55919,0.91689,0.97002,0.95274,0.97526,0.83428,0.59085,0.33807,0.8627,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3373.67,0.69287,0.55974,0.92075,0.96824,0.95608,0.97553,0.83472,0.58376,0.33714,0.86231,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3421.86,0.69255,0.55578,0.92084,0.96971,0.96126,0.97569,0.83372,0.58309,0.33677,0.86282,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3470.77,0.69243,0.55288,0.92029,0.97494,0.95452,0.97662,0.82522,0.61367,0.33936,0.86909,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3518.64,0.68459,0.53552,0.916,0.97787,0.95281,0.97601,0.82599,0.61433,0.33687,0.86829,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3566.59,0.68411,0.54649,0.91311,0.96951,0.9572,0.97636,0.83428,0.58631,0.332,0.86208,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3615.07,0.67446,0.53196,0.91236,0.97072,0.95476,0.97598,0.83599,0.58462,0.33258,0.86197,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3663.16,0.67798,0.5396,0.91095,0.97665,0.95896,0.97633,0.83641,0.58223,0.32957,0.8596,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3711.58,0.67637,0.52563,0.91006,0.97839,0.95966,0.97695,0.83828,0.57768,0.3259,0.85901,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3759.79,0.66166,0.51783,0.90587,0.97539,0.95594,0.97644,0.83503,0.58904,0.32809,0.86006,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
